id,name,status,nodeCount,nodeNumber,username,tenantId,projectName,mqsVersion,keypair,neutronManagementNetwork,neutronManagementNetworkName,cloudDiskInUse,cloudDiskCapacity,createdAt,realIp,serviceName,administrator,monitorOn,antiAffinity,imageName,imageOsType,frameworkType,availabilityZone,instanceName,internalIp,cpu,ram,disk,version
b89724ec-ae4a-42ef-b494-5ddd2a0c3e2a,es1280011,ACTIVE,11,10,sztzyjy,f6f67bd69dc54d54b84b2e7497e69e0a,hlw-海南省教育厅,E7601L02-V500R001B01D021_RC27,dbaas,6fee0416-6e3d-45b6-9a71-42a4ab1e9a4f,jyt-131-0-24,True,0G,2025-10-21 17:29:17,10.148.131.55,elasticsearch,admin,1,False,MQS-NingOS-X86-MQS-1.6,NingOS,x86,HLW_HG4_Domain01,es1280011-elasticsearch-master-1-c323b-0,10.148.131.145,18,65536,128,"{'ELASTICSEARCH': '7.10.2', 'KIBANA': '7.10.2'}"
2bdca011-509e-4936-b058-a6c2113be1ef,es1280026,ACTIVE,3,3,sztzyjy,f6f67bd69dc54d54b84b2e7497e69e0a,hlw-海南省教育厅,E7601L02-V500R001B01D021_RC27,dbaas,b12cadf4-7099-4cc3-b388-4b8a19e490ca,hnsjyt-128.0-24,True,0G,2025-09-12 11:27:01,10.148.128.248,elasticsearch,admin,1,False,MQS-NingOS-X86-MQS-1.6,NingOS,x86,HLW_HG4_Domain01,es1280026-elasticsearch-master-1-afcfd-0,10.148.128.168,4,16384,100,"{'ELASTICSEARCH': '7.10.2', 'KIBANA': '7.10.2'}"
2bdca011-509e-4936-b058-a6c2113be1ef,es1280026,ACTIVE,3,3,sztzyjy,f6f67bd69dc54d54b84b2e7497e69e0a,hlw-海南省教育厅,E7601L02-V500R001B01D021_RC27,dbaas,b12cadf4-7099-4cc3-b388-4b8a19e490ca,hnsjyt-128.0-24,True,0G,2025-09-12 11:27:01,10.148.128.248,elasticsearch,admin,1,False,MQS-NingOS-X86-MQS-1.6,NingOS,x86,HLW_HG4_Domain01,es1280026-elasticsearch-master-2-aed9f-0,10.148.128.169,4,16384,100,"{'ELASTICSEARCH': '7.10.2', 'KIBANA': '7.10.2'}"
2bdca011-509e-4936-b058-a6c2113be1ef,es1280026,ACTIVE,3,3,sztzyjy,f6f67bd69dc54d54b84b2e7497e69e0a,hlw-海南省教育厅,E7601L02-V500R001B01D021_RC27,dbaas,b12cadf4-7099-4cc3-b388-4b8a19e490ca,hnsjyt-128.0-24,True,0G,2025-09-12 11:27:01,10.148.128.248,elasticsearch,admin,1,False,MQS-NingOS-X86-MQS-1.6,NingOS,x86,HLW_HG4_Domain01,es1280026-elasticsearch-core-1-f49f7-0,10.148.128.170,4,16384,100,"{'ELASTICSEARCH': '7.10.2', 'KIBANA': '7.10.2'}"
3b47ca9a-a52a-4f88-893e-e534ea237ef5,es1280025,ACTIVE,3,3,sztzyjy,f6f67bd69dc54d54b84b2e7497e69e0a,hlw-海南省教育厅,E7601L02-V500R001B01D021_RC27,dbaas,b12cadf4-7099-4cc3-b388-4b8a19e490ca,hnsjyt-128.0-24,True,0G,2025-09-12 11:11:09,10.148.128.243,elasticsearch,admin,1,False,MQS-NingOS-X86-MQS-1.6,NingOS,x86,HLW_HG4_Domain01,es1280025-elasticsearch-master-1-0d3c3-0,10.148.128.153,7,16384,500,"{'ELASTICSEARCH': '7.10.2', 'KIBANA': '7.10.2'}"
3b47ca9a-a52a-4f88-893e-e534ea237ef5,es1280025,ACTIVE,3,3,sztzyjy,f6f67bd69dc54d54b84b2e7497e69e0a,hlw-海南省教育厅,E7601L02-V500R001B01D021_RC27,dbaas,b12cadf4-7099-4cc3-b388-4b8a19e490ca,hnsjyt-128.0-24,True,0G,2025-09-12 11:11:09,10.148.128.243,elasticsearch,admin,1,False,MQS-NingOS-X86-MQS-1.6,NingOS,x86,HLW_HG4_Domain01,es1280025-elasticsearch-master-2-d341f-0,10.148.128.154,7,16384,500,"{'ELASTICSEARCH': '7.10.2', 'KIBANA': '7.10.2'}"
3b47ca9a-a52a-4f88-893e-e534ea237ef5,es1280025,ACTIVE,3,3,sztzyjy,f6f67bd69dc54d54b84b2e7497e69e0a,hlw-海南省教育厅,E7601L02-V500R001B01D021_RC27,dbaas,b12cadf4-7099-4cc3-b388-4b8a19e490ca,hnsjyt-128.0-24,True,0G,2025-09-12 11:11:09,10.148.128.243,elasticsearch,admin,1,False,MQS-NingOS-X86-MQS-1.6,NingOS,x86,HLW_HG4_Domain01,es1280025-elasticsearch-core-1-cfc3c-0,10.148.128.155,7,16384,500,"{'ELASTICSEARCH': '7.10.2', 'KIBANA': '7.10.2'}"
f7a7f139-ada1-4f87-8141-c726c781b226,es1280024,ACTIVE,3,3,sztzyjy,f6f67bd69dc54d54b84b2e7497e69e0a,hlw-海南省教育厅,E7601L02-V500R001B01D021_RC27,dbaas,b12cadf4-7099-4cc3-b388-4b8a19e490ca,hnsjyt-128.0-24,True,0G,2025-09-12 11:06:28,10.148.128.242,elasticsearch,admin,1,False,MQS-NingOS-X86-MQS-1.6,NingOS,x86,HLW_HG4_Domain01,es1280024-elasticsearch-master-1-73a23-0,10.148.128.150,7,16384,500,"{'ELASTICSEARCH': '7.10.2', 'KIBANA': '7.10.2'}"
f7a7f139-ada1-4f87-8141-c726c781b226,es1280024,ACTIVE,3,3,sztzyjy,f6f67bd69dc54d54b84b2e7497e69e0a,hlw-海南省教育厅,E7601L02-V500R001B01D021_RC27,dbaas,b12cadf4-7099-4cc3-b388-4b8a19e490ca,hnsjyt-128.0-24,True,0G,2025-09-12 11:06:28,10.148.128.242,elasticsearch,admin,1,False,MQS-NingOS-X86-MQS-1.6,NingOS,x86,HLW_HG4_Domain01,es1280024-elasticsearch-master-2-d5d2e-0,10.148.128.151,7,16384,500,"{'ELASTICSEARCH': '7.10.2', 'KIBANA': '7.10.2'}"
f7a7f139-ada1-4f87-8141-c726c781b226,es1280024,ACTIVE,3,3,sztzyjy,f6f67bd69dc54d54b84b2e7497e69e0a,hlw-海南省教育厅,E7601L02-V500R001B01D021_RC27,dbaas,b12cadf4-7099-4cc3-b388-4b8a19e490ca,hnsjyt-128.0-24,True,0G,2025-09-12 11:06:28,10.148.128.242,elasticsearch,admin,1,False,MQS-NingOS-X86-MQS-1.6,NingOS,x86,HLW_HG4_Domain01,es1280024-elasticsearch-core-1-5f50b-0,10.148.128.152,7,16384,500,"{'ELASTICSEARCH': '7.10.2', 'KIBANA': '7.10.2'}"
cee50abe-62a8-404a-b117-9f19385ae4f8,es1280023,ACTIVE,3,3,sztzyjy,f6f67bd69dc54d54b84b2e7497e69e0a,hlw-海南省教育厅,E7601L02-V500R001B01D021_RC27,dbaas,b12cadf4-7099-4cc3-b388-4b8a19e490ca,hnsjyt-128.0-24,True,0G,2025-09-12 11:01:08,10.148.128.241,elasticsearch,admin,1,False,MQS-NingOS-X86-MQS-1.6,NingOS,x86,HLW_HG4_Domain01,es1280023-elasticsearch-master-1-798cd-0,10.148.128.147,7,16384,500,"{'ELASTICSEARCH': '7.10.2', 'KIBANA': '7.10.2'}"
cee50abe-62a8-404a-b117-9f19385ae4f8,es1280023,ACTIVE,3,3,sztzyjy,f6f67bd69dc54d54b84b2e7497e69e0a,hlw-海南省教育厅,E7601L02-V500R001B01D021_RC27,dbaas,b12cadf4-7099-4cc3-b388-4b8a19e490ca,hnsjyt-128.0-24,True,0G,2025-09-12 11:01:08,10.148.128.241,elasticsearch,admin,1,False,MQS-NingOS-X86-MQS-1.6,NingOS,x86,HLW_HG4_Domain01,es1280023-elasticsearch-master-2-14e3d-0,10.148.128.148,7,16384,500,"{'ELASTICSEARCH': '7.10.2', 'KIBANA': '7.10.2'}"
cee50abe-62a8-404a-b117-9f19385ae4f8,es1280023,ACTIVE,3,3,sztzyjy,f6f67bd69dc54d54b84b2e7497e69e0a,hlw-海南省教育厅,E7601L02-V500R001B01D021_RC27,dbaas,b12cadf4-7099-4cc3-b388-4b8a19e490ca,hnsjyt-128.0-24,True,0G,2025-09-12 11:01:08,10.148.128.241,elasticsearch,admin,1,False,MQS-NingOS-X86-MQS-1.6,NingOS,x86,HLW_HG4_Domain01,es1280023-elasticsearch-core-1-e0da5-0,10.148.128.149,7,16384,500,"{'ELASTICSEARCH': '7.10.2', 'KIBANA': '7.10.2'}"
50e5a087-d86c-4504-83cb-ecc808320b32,es1280022,ACTIVE,3,3,sztzyjy,f6f67bd69dc54d54b84b2e7497e69e0a,hlw-海南省教育厅,E7601L02-V500R001B01D021_RC27,dbaas,b12cadf4-7099-4cc3-b388-4b8a19e490ca,hnsjyt-128.0-24,True,0G,2025-09-12 10:56:09,10.148.128.240,elasticsearch,admin,1,False,MQS-NingOS-X86-MQS-1.6,NingOS,x86,HLW_HG4_Domain01,es1280022-elasticsearch-core-1-2bb4b-0,10.148.128.146,7,16384,500,"{'ELASTICSEARCH': '7.10.2', 'KIBANA': '7.10.2'}"
50e5a087-d86c-4504-83cb-ecc808320b32,es1280022,ACTIVE,3,3,sztzyjy,f6f67bd69dc54d54b84b2e7497e69e0a,hlw-海南省教育厅,E7601L02-V500R001B01D021_RC27,dbaas,b12cadf4-7099-4cc3-b388-4b8a19e490ca,hnsjyt-128.0-24,True,0G,2025-09-12 10:56:09,10.148.128.240,elasticsearch,admin,1,False,MQS-NingOS-X86-MQS-1.6,NingOS,x86,HLW_HG4_Domain01,es1280022-elasticsearch-master-1-88423-0,10.148.128.144,7,16384,500,"{'ELASTICSEARCH': '7.10.2', 'KIBANA': '7.10.2'}"
50e5a087-d86c-4504-83cb-ecc808320b32,es1280022,ACTIVE,3,3,sztzyjy,f6f67bd69dc54d54b84b2e7497e69e0a,hlw-海南省教育厅,E7601L02-V500R001B01D021_RC27,dbaas,b12cadf4-7099-4cc3-b388-4b8a19e490ca,hnsjyt-128.0-24,True,0G,2025-09-12 10:56:09,10.148.128.240,elasticsearch,admin,1,False,MQS-NingOS-X86-MQS-1.6,NingOS,x86,HLW_HG4_Domain01,es1280022-elasticsearch-master-2-e3a0c-0,10.148.128.145,7,16384,500,"{'ELASTICSEARCH': '7.10.2', 'KIBANA': '7.10.2'}"
